term,E,P,A,E2,P2,A2
respectful,3.41,2.49,-0.75,3.41,2.49,-0.75
responsible,3.36,2.98,0.03,3.36,2.98,0.03
restless,-1.28,-0.60,0.88,-1.28,-0.60,0.88
revengeful,-2.40,0.90,0.79,-2.40,0.90,0.79
reverent,1.19,1.03,-0.70,1.19,1.03,-0.70
rich,1.98,3.01,1.65,1.98,3.01,1.65
rigid,-0.79,0.02,-0.83,-0.79,0.02,-0.83
romantic,2.78,2.09,0.04,2.78,2.09,0.04
rude,-3.03,-0.14,1.86,-3.03,-0.14,1.86
rueful,-1.13,0.16,0.36,-1.13,0.16,0.36
ruthless,-1.77,1.66,1.45,-1.77,1.66,1.45
sad,-2.30,-1.54,-2.05,-2.30,-1.54,-2.05
sadistic,-2.46,1.11,0.15,-2.46,1.11,0.15
saintly,2.45,1.83,-1.06,2.45,1.83,-1.06
sarcastic,0.11,0.68,1.29,0.11,0.68,1.29
satisfied,3.11,2.43,0.08,3.11,2.43,0.08
scared,-2.08,-1.53,0.45,-2.08,-1.53,0.45
scheming,-1.57,1.05,0.11,-1.57,1.05,0.11
scornful,-2.05,0.08,0.66,-2.05,0.08,0.66
secretive,-0.43,0.83,-1.68,-0.43,0.83,-1.68
secure,3.07,2.78,-0.76,3.07,2.78,-0.76
self_assured,2.40,2.61,0.15,2.40,2.61,0.15
self_centered,-2.52,-0.54,0.79,-2.52,-0.54,0.79
self_confident,3.05,2.96,0.88,3.05,2.96,0.88
self_conscious,-1.89,-0.93,-1.02,-1.89,-0.93,-1.02
self_disciplined,2.85,3.10,-0.70,2.85,3.10,-0.70
self_pitying,-2.37,-1.77,-1.79,-2.37,-1.77,-1.79
self_righteous,-0.67,0.35,1.27,-0.67,0.35,1.27
self_sacrificing,2.08,2.25,0.07,2.08,2.25,0.07
self_satisfied,2.53,2.46,0.35,2.53,2.46,0.35
selfish,-2.73,-0.36,0.38,-2.73,-0.36,0.38
sensitive,0.78,0.22,-1.20,0.78,0.22,-1.20
sensuous,1.43,1.59,-1.07,1.43,1.59,-1.07
sentimental,1.77,0.75,-1.08,1.77,0.75,-1.08
serene,2.76,1.71,-2.04,2.76,1.71,-2.04
serious,0.95,1.69,-1.15,0.95,1.69,-1.15
sexy,1.75,2.22,0.78,1.75,2.22,0.78
shaken,-1.70,-0.70,0.46,-1.70,-0.70,0.46
shallow,-2.24,-1.47,0.15,-2.24,-1.47,0.15
shocked,-0.49,0.68,1.23,-0.49,0.68,1.23
shook_up,-1.87,-0.49,0.68,-1.87,-0.49,0.68
showy,-1.39,0.20,2.21,-1.39,0.20,2.21
shrewd,-0.83,0.55,0.05,-0.83,0.55,0.05
shy,-0.36,-1.35,-2.37,-0.36,-1.35,-2.37
sickened,-2.83,-1.10,-0.90,-2.83,-1.10,-0.90
silly,1.94,0.52,2.18,1.94,0.52,2.18
simpleminded,-0.98,-1.69,-1.60,-0.98,-1.69,-1.60
sincere,3.15,2.60,-0.72,3.15,2.60,-0.72
single,0.29,0.82,-0.06,0.29,0.82,-0.06
skeptical,0.59,0.72,-0.24,0.59,0.72,-0.24
slack,-1.66,-1.75,-1.87,-1.66,-1.75,-1.87
sloppy,-2.16,-1.18,0.88,-2.16,-1.18,0.88
slothful,-2.16,-1.97,-2.94,-2.16,-1.97,-2.94
sluggish,-1.70,-1.97,-2.76,-1.70,-1.97,-2.76
sly,-0.49,0.81,-1.18,-0.49,0.81,-1.18
smug,-1.23,-0.25,-0.22,-1.23,-0.25,-0.22
sniveling,-1.77,-1.24,0.21,-1.77,-1.24,0.21
snobbish,-2.80,-0.57,0.48,-2.80,-0.57,0.48
snooty,-2.45,-0.57,1.14,-2.45,-0.57,1.14
snowed,0.26,-0.28,-0.50,0.26,-0.28,-0.50
sociable,2.56,2.20,2.32,2.56,2.20,2.32
soft_spoken,0.12,-1.33,-2.36,0.12,-1.33,-2.36
softhearted,1.73,0.32,-1.19,1.73,0.32,-1.19
solemn,0.10,0.14,-2.10,0.10,0.14,-2.10
sophisticated,2.24,2.19,0.02,2.24,2.19,0.02
sorrowful,-2.00,-0.91,-2.19,-2.00,-0.91,-2.19
sorry,0.10,-0.32,-1.26,0.10,-0.32,-1.26
spacey,-0.60,-1.10,-1.79,-0.60,-1.10,-1.79
spirited,2.59,2.27,2.09,2.59,2.27,2.09
spiteful,-2.50,-0.29,0.30,-2.50,-0.29,0.30
spoiled,-1.85,0.24,1.17,-1.85,0.24,1.17
squeamish,-1.87,-0.96,-0.12,-1.87,-0.96,-0.12
stable,2.83,2.25,-0.77,2.83,2.25,-0.77
steadfast,1.85,2.09,-0.28,1.85,2.09,-0.28
stingy,-2.00,-0.15,0.02,-2.00,-0.15,0.02
stoned,-1.82,-0.63,-0.45,-1.82,-0.63,-0.45
straightforward,2.31,2.35,0.87,2.31,2.35,0.87
strange,0.46,0.41,0.34,0.46,0.41,0.34
strict,-0.19,1.42,0.70,-0.19,1.42,0.70
strong,2.51,2.86,0.58,2.51,2.86,0.58
strong_willed,2.07,2.83,1.27,2.07,2.83,1.27
stubborn,-1.24,-0.01,0.35,-1.24,-0.01,0.35
studious,3.05,2.20,-1.71,3.05,2.20,-1.71
stunned,-0.39,-0.07,0.12,-0.39,-0.07,0.12
stupid,-2.40,-2.12,-0.88,-2.40,-2.12,-0.88
subdued,-1.21,-0.87,-1.05,-1.21,-0.87,-1.05
submissive,-1.31,-1.86,-1.90,-1.31,-1.86,-1.90
successful,3.13,3.11,0.93,3.13,3.11,0.93
suicidal,-3.61,-1.16,-2.24,-3.61,-1.16,-2.24
superstitious,-0.84,-0.73,-0.22,-0.84,-0.73,-0.22
surprised,1.44,1.32,2.25,1.44,1.32,2.25
suspicious,-0.73,0.28,-0.92,-0.73,0.28,-0.92
sympathetic,2.62,1.96,-1.08,2.62,1.96,-1.08
taciturn,-0.24,-0.36,-0.98,-0.24,-0.36,-0.98
tactful,2.30,1.97,-0.71,2.30,1.97,-0.71
tactless,-1.71,-1.30,0.88,-1.71,-1.30,0.88
talented,3.17,2.88,1.41,3.17,2.88,1.41
talkative,0.60,0.83,2.71,0.60,0.83,2.71
team_spirited,2.59,1.99,2.44,2.59,1.99,2.44
temperamental,-1.50,-0.30,1.45,-1.50,-0.30,1.45
tense,-1.73,-0.17,-0.17,-1.73,-0.17,-0.17
terrified,-2.52,-0.37,1.28,-2.52,-0.37,1.28
thankful,3.34,2.34,-0.53,3.34,2.34,-0.53
thoughtful,2.99,2.61,-0.83,2.99,2.61,-0.83
thoughtless,-2.69,-1.25,-0.62,-2.69,-1.25,-0.62
thrilled,2.64,2.28,2.39,2.64,2.28,2.39
timid,-1.15,-2.15,-2.02,-1.15,-2.15,-2.02
tired,-1.58,-1.28,-2.28,-1.58,-1.28,-2.28
tolerant,2.46,1.63,-0.66,2.46,1.63,-0.66
tormented,-3.28,-0.66,-0.45,-3.28,-0.66,-0.45
tough,1.56,2.04,0.58,1.56,2.04,0.58
tranquil,2.12,1.10,-2.60,2.12,1.10,-2.60
troubled,-2.19,-0.87,-1.06,-2.19,-0.87,-1.06
trusting,2.26,1.58,-0.43,2.26,1.58,-0.43
ugly,-1.62,-1.09,-0.81,-1.62,-1.09,-0.81
unambitious,-2.75,-2.39,-2.82,-2.75,-2.39,-2.82
unattractive,-1.30,-1.09,-0.55,-1.30,-1.09,-0.55
uncertain,-1.20,-1.48,-0.89,-1.20,-1.48,-0.89
uncomfortable,-2.01,-0.99,-1.49,-2.01,-0.99,-1.49
unconventional,1.01,1.00,0.62,1.01,1.00,0.62
understanding,3.05,2.43,-0.91,3.05,2.43,-0.91
uneasy,-1.99,-1.19,-0.95,-1.99,-1.19,-0.95
uneducated,-2.70,-2.11,-1.48,-2.70,-2.11,-1.48
unemployed,-2.58,-2.29,-2.06,-2.58,-2.29,-2.06
unfair,-2.66,0.28,0.40,-2.66,0.28,0.40
unforgiving,-2.60,-0.42,-0.80,-2.60,-0.42,-0.80
unfriendly,-2.88,-0.12,-0.39,-2.88,-0.12,-0.39
ungrateful,-3.08,-0.87,0.02,-3.08,-0.87,0.02
unhappy,-2.71,-0.52,-1.84,-2.71,-0.52,-1.84
unhealthy,-2.77,-1.09,-1.40,-2.77,-1.09,-1.40
unhelpful,-2.05,-1.24,-1.18,-2.05,-1.24,-1.18
unimaginative,-2.14,-2.27,-2.05,-2.14,-2.27,-2.05
unique,2.68,2.33,0.85,2.68,2.33,0.85
unkind,-3.15,-0.78,0.41,-3.15,-0.78,0.41
unlucky,-2.10,-1.38,-0.25,-2.10,-1.38,-0.25
unmotivated,-3.01,-2.34,-2.47,-3.01,-2.34,-2.47
unpopular,-1.06,-1.40,-1.56,-1.06,-1.40,-1.56
unreasonable,-2.53,-0.58,0.84,-2.53,-0.58,0.84
unreliable,-2.96,-1.57,-0.99,-2.96,-1.57,-0.99
unsatisfied,-2.12,-1.09,-1.17,-2.12,-1.09,-1.17
unscrupulous,-1.17,-0.23,0.02,-1.17,-0.23,0.02
unselfish,3.16,2.38,-0.34,3.16,2.38,-0.34
unsophisticated,-1.58,-1.54,0.63,-1.58,-1.54,0.63
unsportsmanlike,-2.66,-1.35,1.64,-2.66,-1.35,1.64
unstable,-2.30,-1.67,0.18,-2.30,-1.67,0.18
unsuccessful,-2.37,-1.51,-1.09,-2.37,-1.51,-1.09
upset,-2.67,-0.56,-0.66,-2.67,-0.56,-0.66
uptight,-1.83,-0.58,-0.07,-1.83,-0.58,-0.07
vain,-2.30,-0.44,0.97,-2.30,-0.44,0.97
vengeful,-2.44,0.01,0.60,-2.44,0.01,0.60
vigorous,1.46,1.61,2.18,1.46,1.61,2.18
violent,-2.92,1.26,2.56,-2.92,1.26,2.56
virtuous,3.04,2.39,0.03,3.04,2.39,0.03
vivacious,1.58,1.46,2.19,1.58,1.46,2.19
vulgar,-1.93,-0.27,1.93,-1.93,-0.27,1.93
warm,2.63,1.53,-0.59,2.63,1.53,-0.59
warmhearted,3.23,2.39,-0.22,3.23,2.39,-0.22
weak,-2.32,-3.07,-2.12,-2.32,-3.07,-2.12
wealthy,2.09,2.81,0.94,2.09,2.81,0.94
white,0.79,1.84,0.62,0.79,1.84,0.62
wholesome,2.66,1.57,-0.44,2.66,1.57,-0.44
widowed,-2.66,-0.70,-1.35,-2.66,-0.70,-1.35
wild,-0.01,0.88,2.71,-0.01,0.88,2.71
wise,3.44,3.51,-0.91,3.44,3.51,-0.91
withdrawn,-1.10,-1.58,-1.98,-1.10,-1.58,-1.98
witty,2.09,1.78,1.94,2.09,1.78,1.94
worried,-2.37,-0.83,-0.19,-2.37,-0.83,-0.19
worthless,-3.42,-2.81,-2.61,-3.42,-2.81,-2.61
worthy,2.83,2.57,0.41,2.83,2.57,0.41
young,2.38,0.74,2.35,2.38,0.74,2.35
