,,Means,,
54,Students in a School,1.238596491,-0.331578947,1.729824561
55,Carnival Attendees,0.769230769,0.524615385,1.996923077
56,Children at a Park,2.055,-0.78,3.113333333
57,Chat Room Participants,0.23,-0.563333333,0.4
58,Preschool Students,1.804918033,-1.463934426,2.581967213
59,Elementary Students,1.188333333,-1.183333333,2.331666667
60,Turks,0.3,0.3,0.4
61,Cosplayers,1.503921569,0.447058824,1.337254902
62,The Amish,1.960526316,-0.006578947,-1.465789474
63,Street Artists,1.243478261,0.056521739,1.05942029
64,Infant Play Group,2.081355932,-1.444067797,2.108474576
65,Senior Breakfast Club,1.724528302,-1.137735849,-1.620754717
66,Senior Bowling Team,1.533870968,-0.279032258,0.116129032
67,A Hung Jury,-0.289285714,-0.216071429,-0.8375
68,Walmart Greeters,1.640350877,-1.131578947,-0.519298246
69,Retired Sales Associates,0.793103448,-0.613793103,-0.829310345
70,A Professional YouTube Videographer Team,1.243478261,0.92173913,1.982608696
71,Senior Social Club,1.754098361,-0.511666667,-1.339344262
72,Senior Church Group,1.558064516,-0.201612903,-1.012903226
73,Quilting Group,2.1046875,-0.734375,-1.7609375
74,Online Gamers,0.856603774,-0.120754717,0.349056604
75,Funeral Mourners,1.2375,-1.470833333,-1.968055556
76,Television Audience,0.937209302,-0.01627907,0.465116279
77,Radio Station Listeners,0.896969697,-0.154545455,-0.340909091
78,Online Blog Readers,1.015277778,-0.234722222,-0.548611111
79,Seniors,1.641269841,-0.953968254,-1.692063492
80,Physically Disabled People,1.348387097,-1.606451613,-1.711290323
81,Mentally Challenged People,1.2484375,-1.7984375,-1.196875
82,Minor Comic Book Characters,0.649019608,-0.319607843,0.107843137
83,Hipsters,0.014516129,-0.388709677,0.598387097
84,Gang,-2.826027397,1.349315068,2.090410959
85,Terrorist Cell,-3.388,1.136486486,1.214864865
86,Mafia,-2.784444444,2.337777778,0.88
87,A Large Smuggling Ring,-2.847457627,1.722033898,1.057627119
88,Firing Squad,-1.390196078,2.307843137,1.960784314
89,Prosecuting Law Firm,0.206666667,2.153333333,1.650666667
90,Oil Company,-0.911666667,2.746666667,1.27
91,Fraudulent Charity,-3.371428571,0.232653061,0.185714286
92,Crematorium Staff,1.00212766,0.19787234,-0.914893617
93,Mandatory Community Service Team,0.45,-0.432,0.436
94,Motorcycle Gang,-0.70952381,1.43015873,2.422222222
95,Snake Handling Church,-1.268085106,-0.195555556,1.1
96,Rioters,-2.022222222,1.504761905,3.211111111
97,Angry Mob,-2.591071429,2.3375,2.823214286
98,Protesters,0.221428571,1.0875,2.517857143
99,Violent Stadium Crowd,-2.825757576,2.156060606,3.236363636
100,Strippers,-0.15,-0.436538462,1.975
101,Rapists,-3.753703704,-0.001851852,0.666666667
102,Satan Worshippers,-2.195588235,-0.982352941,0.175
103,Terrorists,-3.468253968,1.06031746,1.476190476
104,Juvenile Delinquents,-1.954545455,-0.827272727,1.821212121
105,Convicting Jury,0.473584906,2.251851852,-0.168518519
106,Family in Divorce Proceedings,-0.754237288,-0.613559322,0.555932203
107,Political Super PAC,-1.488372093,2.097619048,1.561904762
108,Tobacco Producer,-1.547142857,1.902857143,0.918571429
109,Meth Lab Group,-3.152542373,-0.217241379,0.477586207
110,Genetically Engineered Food Producers,-0.198245614,0.871929825,0.489473684
111,Extermination Business,1.007575758,0.853846154,0.806060606
112,Internet Hackers,-1.993939394,1.565151515,0.283333333
113,Internet Scammers,-3.194117647,0.35,0.548529412
114,Phishing Scammers,-3.358695652,-0.141304348,0.406521739
115,Drivers Stuck in Traffic,-0.526388889,-2.105555556,-0.845833333
116,Black Friday Shoppers,-0.861290323,0.574603175,2.793650794
117,Customers Waiting in Line,0.231884058,-1.108695652,-1.049275362
118,Customers Put on Hold,0.26,-1.836923077,-1.072307692
119,The Insane ,-0.921666667,-1.163333333,1.316666667
120,Scrooges,-2.103225806,0.309677419,-0.417741935
121,Drug Smugglers,-2.86779661,1.181355932,0.784745763
122,A Small Gang,-2.38245614,0.240350877,1.335087719
123,A Small Smuggling Ring,-2.566,0.612,-0.106
124,Child Prostitution Ring,-3.67,0.456666667,0.355932203
125,Telemarketers,-1.494117647,-1.048529412,1.547058824
126,Scam IT Companies,-3.026785714,0.242857143,1.241071429
127,Factory Workers,1.066037736,-0.037735849,1.31509434
128,Sweatshop Workers,0.092727273,-2.374545455,0.258181818
129,Prison Work Team,-0.668852459,-0.286885246,0.529508197
130,Door-to-Door salespeople,-0.710606061,-0.415151515,1.712121212
131,Suicide Cult,-3.344736842,-0.473684211,-0.588
132,Self-Harm Cult,-2.610526316,-1.036842105,-0.563157895
133,Sex Trafficking Group,-3.719298246,1.421052632,1.063157895
134,Video Pirating Group,-1.327160494,0.554878049,0.252439024
135,Smutty Fanfiction Writers,-0.468421053,-0.362068966,-0.359649123
136,Strip Club Customers,-0.83125,-0.75625,0.68125
137,Crack House Clients,-2.350819672,-2.226229508,0.283606557
138,Strip Club Workers,-0.254237288,-0.611864407,1.737288136
139,Meth Addicts,-2.2953125,-2.33125,0.5921875
140,Porn Addicts,-1.001612903,-1.587096774,-0.359677419
141,Graffiti Vandals,-1.624590164,-0.318333333,0.898360656
142,Big Game Hunters,-1.181481481,0.833333333,0.414814815
143,Hoarders,-1.018571429,-2.165714286,-1.6
144,Crooks,-2.907462687,0.182089552,0.871641791
145,A Cult,-2.741269841,1.079365079,0.504761905
146,Estranged Friends,-0.462711864,-0.749152542,-0.916949153
147,Prison Cell Mates,-1.648979592,-0.889795918,0.295918367
148,A Homeless Family,0.301538462,-2.78,-1.615384615
149,A Needy Family,0.912698413,-2.273015873,-0.857142857
150,An Unhelpful Customer Service Department,-2.334482759,-1.04137931,-1.296551724
151,Staff of a Dirty Thrift Store ,-0.698461538,-1.503076923,-0.844615385
152,Staff of an Infested Hotel,-1.321212121,-1.551515152,-0.534848485
153,Street Harassers,-2.715254237,-0.354237288,2.003389831
154,Soup Kitchen Line,1.555357143,-0.816071429,0.408928571
155,Occupants of a Homeless Shelter,0.626666667,-2.006666667,-0.691666667
156,Opium Den Clients,-1.51509434,-1.635849057,-1.652830189
157,Alcoholics,-1.486885246,-1.845901639,-0.057377049
158,Heroin Addicts,-1.740350877,-2.631578947,-1.196491228
159,Internet Stalkers,-2.974626866,-0.506060606,-0.9
160,Nursing Home Patients,1.578873239,-2.525352113,-2.592957746
161,Flood Victims ,1.114035088,-2.145614035,0.033333333
162,Identity Theft Victims,0.13,-1.946666667,-0.738333333
163,New Age Church Members,0.112280702,-0.122807018,0.875438596
164,Wiccans ,-0.0925,-0.1725,-0.66
165,Atheists,0.597014925,0.305882353,0.302941176
166,Mega Church Members,-0.440298507,0.544776119,0.702985075
167,Predatory Lending Company,-2.945098039,1.423529412,1.192156863
168,Child Custody Law Firm,0.587301587,2.06984127,1.058730159
169,Ponzi Scheme Investment Group,-3.11147541,1.113114754,0.795081967
170,Small Country Church Members,1.084285714,-0.101428571,-0.388405797
