,index,Original_term,term,component,n,E,P,A,E_std,P_std,A_std
103,104,air_force_reservist,air force reservist,identity,9,1.78,1.43,0.6,0.14,0.13,0.11
104,105,air_hostess,air hostess,identity,2,1.57,0.19,1.13,0.15,0.15,0.1
105,106,aircraft_pilot,aircraft pilot,identity,1,1.68,1.58,1.3,0.17,0.15,0.12
106,107,airline_pilot,airline pilot,identity,12,1.67,1.36,1.48,0.15,0.17,0.11
107,108,airman,airman,identity,1,1.81,1.36,1.38,0.17,0.15,0.11
108,109,alarm,alarms,behavior,7,-0.65,1.33,2.13,0.22,0.08,0.13
109,110,alarmed,alarmed,modifier,12,-1.35,0.16,1.52,0.22,0.13,0.13
110,111,alcoholic,alcoholic,identity,19,-2.18,-1.73,1.18,0.2,0.19,0.12
111,112,alcoholic_female,alcoholic female,identity,1,-0.39,-0.62,1.13,0.8,0.63,0.17
112,113,alderman,alderman,identity,4,0.35,0.62,0,0.15,0.13,0.12
113,114,alert,alerts,behavior,10,2.14,2.1,1.83,0.22,0.1,0.12
114,115,alert,alert,modifier,9,2.38,1.93,0.83,0.2,0.12,0.15
115,116,alien_immigrant,alien immigrant,identity,1,-0.7,-0.97,-0.53,0.15,0.15,0.14
116,117,alienate,alienates,behavior,10,-2.1,1.15,0.26,0.21,0.07,0.1
117,118,allow,allows,behavior,6,1.38,1.52,-0.05,0.18,0.08,0.1
118,119,allow_something_with,allows something with,behavior,1,1.98,1.56,-0.08,0.21,0.07,0.1
119,120,ally,ally,identity,8,2.3,2,-0.13,0.15,0.16,0.1
120,121,aloof,aloof,modifier,15,-0.87,-0.99,-1.33,0.16,0.15,0.13
121,122,alter,alter,identity,1,-0.81,0.14,0.43,0.3,0.15,0.14
122,123,alumnae,alumnae,identity,1,1.14,-0.09,0.03,0.16,0.14,0.09
123,124,alumnus,alumnus,identity,14,1.45,1.27,0.3,0.13,0.12,0.09
124,125,amateur,amateur,identity,9,1.03,-0.85,0.29,0.18,0.19,0.16
125,126,amaze,amazes,behavior,10,2.5,2.63,1.41,0.24,0.13,0.11
126,127,ambassador,ambassador,identity,9,1.49,2.25,0.35,0.12,0.13,0.09
127,128,ambitious,ambitious,modifier,17,2.42,2.45,1.28,0.21,0.15,0.13
128,129,american,american,identity,9,0.95,0.91,0.83,0.14,0.11,0.1
129,130,american,american,modifier,1,0.69,1.15,0.72,0.35,0.19,0.15
130,131,amorous,amorous,modifier,7,1.83,1.42,0.49,0.19,0.14,0.11
131,132,amuse,amuses,behavior,18,2.26,1.98,1.72,0.24,0.08,0.13
132,133,amused,amused,modifier,18,2.32,1.48,0.89,0.23,0.13,0.13
133,134,amusing,amusing,modifier,9,2.49,1.69,1.77,0.24,0.13,0.16
134,135,analyst,analyst,identity,1,0.95,0.71,-0.62,0.13,0.2,0.16
135,136,analyze,analyzes,behavior,16,0.76,1.17,-0.74,0.18,0.09,0.12
136,137,anarchist,anarchist,identity,1,-0.96,-0.27,0.69,0.16,0.13,0.15
137,138,anesthetist,anesthetist,identity,11,1.37,1.76,-0.82,0.18,0.15,0.14
138,139,angel,angel,identity,7,3.06,2.54,-0.77,0.22,0.2,0.14
139,140,angel_mythical,angel mythical,identity,1,2.92,2.33,-0.72,0.27,0.21,0.12
140,141,anger,angers,behavior,13,-1.9,1.07,1.53,0.18,0.07,0.09
141,142,anglican,anglican,identity,1,1.04,0.53,-0.07,0.13,0.15,0.08
142,143,angry,angry,modifier,14,-1.6,0.63,1.84,0.28,0.13,0.14
143,144,angry_irate,angry irate,modifier,2,-2.05,0.45,1.88,0.25,0.14,0.15
144,145,anguished,anguished,modifier,18,-2.07,-0.68,-0.86,0.2,0.14,0.14
145,146,ankle_biter,ankle biter,identity,1,-2.71,-1,0.18,0.23,0.16,0.11
146,147,annihilate,annihilates,behavior,11,-2.51,2.19,1.87,0.3,0.11,0.12
147,148,announcer,announcer,identity,1,0.95,1.58,2.09,0.2,0.15,0.15
148,149,announcing_acease_fire,announcing acease fire,behavior,1,0.36,1.55,1.71,0.26,0.1,0.14
149,150,annoy,annoys,behavior,14,-1.79,0.71,1.57,0.18,0.08,0.1
150,151,annoyed,annoyed,modifier,16,-1.98,-0.66,0.51,0.21,0.13,0.13
151,152,annoying,annoying,modifier,9,-2.16,0.05,1.94,0.26,0.14,0.16
152,153,anoint,anoints,behavior,1,1.37,1.57,0.15,0.19,0.1,0.1
153,154,anorexic,anorexic,identity,1,-1.01,-1.32,0.48,0.18,0.2,0.11
154,155,answer,answers,behavior,15,1.71,1.29,0.42,0.2,0.08,0.1
155,156,answer_reply_to,answers reply to,behavior,2,2.48,1.49,0.36,0.22,0.07,0.11
156,157,antagonist,antagonist,identity,3,-1.73,1.31,1.16,0.23,0.15,0.11
157,158,antagonize,antagonizes,behavior,14,-2.64,0.84,1.58,0.22,0.07,0.09
158,159,anti_semite,anti semite,identity,12,-2.6,-0.37,1.39,0.23,0.13,0.12
159,160,antiquarian,antiquarian,identity,1,0.74,0.82,-0.61,0.13,0.15,0.11
160,161,antisocial,antisocial,modifier,17,-1.47,-1.51,-2.28,0.18,0.18,0.18
161,162,antisocial_person,antisocial person,identity,1,0.35,0.13,-0.09,0.18,0.21,0.15
162,163,anxious,anxious,modifier,20,-1.74,-1.11,0.4,0.19,0.14,0.13
163,164,anxious_tensed,anxious tensed,modifier,2,-1.69,-1.01,0.3,0.19,0.14,0.14
164,165,aoler,aoler,identity,1,0.37,0.2,-0.32,0.16,0.14,0.11
165,166,apathetic,apathetic,modifier,15,-1.06,-0.76,-1.83,0.16,0.15,0.16
166,167,ape,apes,behavior,4,-2.07,0.63,0.74,0.25,0.1,0.14
167,168,apologize_to,apologizes to,behavior,19,2.85,2.31,-0.69,0.22,0.09,0.13
168,169,appalled,appalled,modifier,7,-1.28,-0.02,0.42,0.2,0.13,0.12
169,170,appeal_to,appeals to,behavior,20,2.08,1.71,-0.01,0.18,0.08,0.1
170,171,appease,appeases,behavior,10,0.61,0.29,-0.38,0.16,0.1,0.11
171,172,applaud,applauds,behavior,18,2.57,2.31,2.17,0.28,0.11,0.15
172,173,applaud_compliment_praise,applauds compliment praise,behavior,2,2.67,2.22,2.2,0.31,0.11,0.15
173,174,applicant,applicant,identity,18,1.05,-0.96,-0.16,0.15,0.18,0.1
174,175,appoint,appoints,behavior,15,1.71,2.56,0.46,0.21,0.11,0.1
175,176,appointing_ambassadors,appointing ambassadors,behavior,1,0.38,1.81,1.18,0.23,0.11,0.09
176,177,appreciate,appreciates,behavior,12,3.43,2.49,-0.18,0.26,0.11,0.1
177,178,appreciative,appreciative,modifier,10,3.18,2.42,0.03,0.21,0.14,0.12
178,179,apprehend,apprehends,behavior,19,0.62,1.93,1.44,0.17,0.08,0.09
179,180,apprehensive,apprehensive,modifier,15,-1.35,-0.48,-0.61,0.17,0.13,0.12
180,181,apprentice,apprentice,identity,17,1.4,-0.56,0.03,0.16,0.14,0.1
181,182,approach,approachs,behavior,19,1.57,1.34,0.12,0.17,0.07,0.11
182,183,approve,approves,behavior,1,2.14,2.06,-0.02,0.18,0.09,0.1
183,184,approve_of,approves of,behavior,11,2.03,2,-0.26,0.2,0.09,0.11
184,185,arab,arab,identity,6,0.54,0.15,0.19,0.13,0.12,0.09
185,186,archbishop,archbishop,identity,1,1.01,2.47,0.01,0.17,0.14,0.11
186,187,archenemy,archenemy,identity,1,0.32,1.23,-0.13,0.19,0.17,0.11
187,188,architect,architect,identity,13,1.69,1.7,-0.28,0.13,0.14,0.11
188,189,argue_with,argues with,behavior,17,-1.38,1.21,2.2,0.21,0.08,0.12
189,190,aristocrat,aristocrat,identity,1,0,0.6,0.19,0.13,0.11,0.09
190,191,arm,arms,behavior,10,-0.48,2.11,1.15,0.25,0.11,0.1
191,192,army_chaplain,army chaplain,identity,7,2.03,1.74,0.69,0.18,0.14,0.19
192,193,army_enlistee,army enlistee,identity,9,2.3,1.75,1.4,0.19,0.16,0.12
193,194,army_general,army general,identity,7,1.92,2.97,2.09,0.18,0.21,0.15
194,195,army_officer,army officer,identity,9,1.56,2.31,1.61,0.14,0.14,0.13
195,196,army_reservist,army reservist,identity,9,1.7,1.37,0.59,0.13,0.12,0.1
196,197,army_scout,army scout,identity,1,1.98,1.26,1.42,0.17,0.17,0.11
197,198,arouse,arouses,behavior,12,2.03,2.09,0.84,0.19,0.09,0.08
198,199,aroused,aroused,modifier,9,2.15,1.74,1.06,0.22,0.13,0.14
199,200,arrest,arrests,behavior,20,-0.04,2.38,1.71,0.16,0.11,0.1
200,201,arrogant,arrogant,modifier,15,-2.36,-0.34,1.67,0.22,0.14,0.15
201,202,arsonist,arsonist,identity,8,-3.29,1.34,0.64,0.3,0.17,0.11
202,203,art_film,,other,2,,,,,,
203,204,artist,artist,identity,9,1.7,0.78,-0.25,0.14,0.12,0.1
204,205,artistic,artistic,modifier,4,2.29,1.62,0.71,0.21,0.14,0.12
205,206,artistical,artistical,modifier,6,2.32,1.44,-0.72,0.22,0.13,0.14
206,207,ashamed,ashamed,modifier,19,-2.07,-0.65,-1.57,0.21,0.14,0.15
207,208,asian,asian,identity,7,1.08,0.13,-0.07,0.13,0.13,0.09
208,209,asian_american,asian american,identity,7,1.14,0.53,-0.09,0.12,0.12,0.09
209,210,asian_man,asian man,identity,6,0.96,0.05,-0.5,0.13,0.11,0.11
210,211,asian_woman,asian woman,identity,6,1.3,0.09,-0.3,0.11,0.11,0.1
211,212,ask,asks,behavior,12,1.99,1.34,0.02,0.19,0.07,0.09
212,213,ask_about,asks about,behavior,13,1.72,1.13,0.16,0.17,0.07,0.09
213,214,ask_about_something,asks about something,behavior,12,1.7,1.3,0.3,0.18,0.07,0.09
214,215,ask_out,asks out,behavior,9,2.21,1.84,0.33,0.18,0.07,0.08
215,216,ass,ass,identity,12,-1.34,0.02,1.46,0.23,0.21,0.13
216,217,assail,assails,behavior,13,-1.2,0.9,1.26,0.17,0.07,0.1
217,218,assailant,assailant,identity,13,-2.26,1.27,0.7,0.23,0.16,0.11
218,219,assassin,assassin,identity,11,-1.86,1.99,-0.56,0.28,0.21,0.17
219,220,assassinate,assassinates,behavior,7,-2.72,2.39,0.84,0.37,0.13,0.11
220,221,assault,assaults,behavior,15,-2.95,1.54,2.22,0.32,0.09,0.12
221,222,assault_hound,assaults hound,behavior,2,-3.24,1.34,2.31,0.32,0.09,0.14
222,223,assembly,assembly,identity,1,1.4,0.35,0.61,0.14,0.19,0.12
223,224,assembly_line_worker,assembly line worker,identity,7,0.71,-1.08,0.8,0.13,0.14,0.09
224,225,assertive,assertive,modifier,8,1.28,2.15,1.87,0.24,0.15,0.15
225,226,assess,assesses,behavior,7,0.56,1.03,-0.71,0.16,0.09,0.11
226,227,asshole,asshole,identity,1,-2.47,-0.45,1.49,0.25,0.16,0.14
227,228,assiduous,assiduous,modifier,1,0.79,0.86,0.17,0.24,0.16,0.15
228,229,assist,assists,behavior,19,2.94,2.33,0.41,0.24,0.11,0.1
229,230,assistant,assistant,identity,18,1.51,-0.14,-0.05,0.14,0.13,0.09
230,231,assistant_professor,assistant professor,identity,2,1.54,0.78,-0.09,0.14,0.25,0.07
231,232,associate_with,associates with,behavior,6,2.16,1.65,0.19,0.2,0.08,0.1
232,233,assure,assures,behavior,7,2.89,2.22,0.03,0.23,0.1,0.1
233,234,astonish,astonishes,behavior,12,0.14,0.77,0.86,0.21,0.1,0.09
234,235,astonished,astonished,modifier,10,0.93,0.63,0.96,0.21,0.15,0.13
235,236,astound,astounds,behavior,13,1.58,1.91,1.04,0.18,0.09,0.1
236,237,astrologer,astrologer,identity,9,0.87,0.43,-0.73,0.15,0.11,0.13
237,238,astronaut,astronaut,identity,7,2.19,2.1,0.68,0.15,0.16,0.11
238,239,asylum_seeker,asylum seeker,identity,1,-1.38,-1.35,-0.51,0.22,0.17,0.13
239,240,at_ease,at ease,modifier,15,2.83,1.94,-1.95,0.29,0.15,0.19
240,241,atheist,atheist,identity,15,-0.1,-0.27,0.05,0.16,0.14,0.11
241,242,athlete,athlete,identity,20,1.84,2.39,2.39,0.18,0.18,0.18
242,243,attack,attacks,behavior,20,-2.78,1.5,2.28,0.3,0.09,0.14
243,244,attend_to,attends to,behavior,10,2.47,1.78,0.29,0.22,0.08,0.1
244,245,attendant,attendant,identity,2,1.43,-0.12,-0.14,0.15,0.18,0.1
245,246,attentive,attentive,modifier,7,2.76,2.04,-0.73,0.19,0.13,0.13
246,247,attitudinally_relaxed,attitudinally relaxed,modifier,1,2.05,1.3,-1.41,0.19,0.14,0.17
247,248,attitudinally_uptight,attitudinally uptight,modifier,1,-1.33,-0.34,-0.03,0.24,0.15,0.14
248,249,attorney,attorney,identity,17,1.23,2.55,1.52,0.15,0.15,0.12
249,250,attorney_general,attorney general,identity,8,0.9,2.52,0.74,0.16,0.16,0.13
250,251,attract,attracts,behavior,8,2.56,2.45,0.56,0.22,0.11,0.08
251,252,attractive,attractive,modifier,11,2.47,2.12,0.67,0.23,0.15,0.12
252,253,auctioneer,auctioneer,identity,13,0.6,1.07,2.68,0.17,0.15,0.2
253,254,audacious,audacious,modifier,6,0.57,1.15,1.61,0.23,0.12,0.14
254,255,auditor,auditor,identity,11,-0.21,1.36,-0.6,0.2,0.16,0.14
255,256,auditor_general,auditor general,identity,8,0.66,2.37,0.31,0.27,0.19,0.15
256,257,aunt,aunt,identity,15,1.87,0.57,0.64,0.15,0.17,0.08
257,258,aunt_fathers_sister,aunt fathers sister,identity,2,2.01,0.78,0.6,0.19,0.17,0.08
258,259,aunt_maternal,aunt maternal,identity,1,2.02,0.68,0.44,0.17,0.13,0.09
259,260,aunt_mothers_sister,aunt mothers sister,identity,2,1.94,0.75,0.61,0.2,0.15,0.09
260,261,auntie,auntie,identity,3,1.76,0.26,0.45,0.18,0.14,0.1
261,262,australian,australian,identity,8,0.93,0.29,0.64,0.12,0.19,0.09
262,263,austrian,austrian,identity,8,0.55,0.17,0.32,0.12,0.12,0.08
263,264,author,author,identity,14,1.42,1.73,-1.09,0.15,0.16,0.14
264,265,authoritarian,authoritarian,modifier,17,-0.09,1.97,1.24,0.25,0.15,0.13
265,266,authoritative,authoritative,modifier,2,0.94,2.52,1.22,0.26,0.16,0.12
266,267,authority,authority,identity,19,0.68,2.83,0.84,0.14,0.19,0.11
267,268,authorize,authorizes,behavior,12,1.14,2.13,0.34,0.19,0.09,0.09
268,269,autistic_person,autistic person,identity,7,0.44,0.34,0.26,0.16,0.18,0.1
269,270,auto_mechanic,auto mechanic,identity,12,1.09,0.45,0.49,0.13,0.12,0.11
270,271,autocrat,autocrat,identity,2,-0.55,1.34,0.41,0.17,0.13,0.11
271,272,automobile_assembler,automobile assembler,identity,7,1.11,0.37,0.93,0.12,0.1,0.09
272,273,automobile_repairer,automobile repairer,identity,1,1.13,0.11,-0.29,0.13,0.1,0.1
273,274,autonomous,autonomous,modifier,7,1.06,1.4,0.13,0.22,0.13,0.13
274,275,avenge,avenges,behavior,7,-0.49,1.78,0.85,0.2,0.08,0.1
275,276,avenger,avenger,identity,1,-1.31,1.51,0.55,0.22,0.21,0.11
276,277,average,average,modifier,10,-0.61,-1.01,-0.82,0.21,0.19,0.13
277,278,average_joe,average joe,identity,1,0.42,0.55,0.94,0.2,0.31,0.21
278,279,avoid,avoids,behavior,12,-1.17,-0.08,-0.59,0.15,0.11,0.13
279,280,awake,awakes,behavior,2,0.92,1.62,0.84,0.17,0.07,0.08
280,281,awaken,awakens,behavior,9,-0.55,1.38,1.11,0.18,0.07,0.09
281,282,aware,awares,behavior,2,1.09,1.19,-0.03,0.23,0.08,0.11
282,283,awe,awes,behavior,9,2.25,1.82,-0.1,0.19,0.09,0.12
283,284,awe_struck,awe struck,modifier,14,1.25,0.93,0.15,0.23,0.14,0.12
284,285,awkward,awkward,modifier,10,-0.66,-0.88,-1.04,0.17,0.16,0.13
285,286,babble_to,babbles to,behavior,12,-0.79,-0.55,1.72,0.16,0.17,0.13
286,287,babe,babe,identity,1,1.25,-0.45,1.52,0.2,0.25,0.17
287,288,babe_female,babe female,identity,2,1.25,-0.5,1.3,0.17,0.28,0.21
288,289,baby,babies,behavior,14,0.58,0.76,-0.19,0.23,0.12,0.13
289,290,baby,baby,identity,20,1.81,-1.97,1.31,0.24,0.26,0.13
290,291,babysitter,babysitter,identity,18,2.01,1.3,0.37,0.17,0.15,0.09
291,292,bachelor,bachelor,identity,19,0.64,0.64,1.21,0.14,0.12,0.11
292,293,back,backs,behavior,12,1.87,2.05,0.65,0.24,0.1,0.1
293,294,backbencher,backbencher,identity,3,-0.32,-0.14,-0.01,0.2,0.15,0.13
294,295,backer,backer,identity,4,0.94,1.12,0.25,0.17,0.19,0.08
295,296,backstab,backstabs,behavior,8,-3.06,0.91,0.39,0.25,0.08,0.1
296,297,backstabber,backstabber,identity,8,-3.34,0.44,-0.04,0.28,0.16,0.11
297,298,bad,bad,modifier,10,-2.9,0.58,1,0.29,0.15,0.14
298,299,bad_tempered,bad tempered,modifier,7,-2.55,0.01,0.66,0.25,0.13,0.12
299,300,badger,badgers,behavior,14,-1.81,0.2,1.73,0.18,0.09,0.1
300,301,baffle,baffles,behavior,1,-1.24,0.56,0.72,0.16,0.08,0.1
301,302,bailiff,bailiff,identity,10,0.7,1.47,0.04,0.14,0.12,0.11
302,303,bailsman,bailsman,identity,10,0.53,1.47,0.44,0.13,0.13,0.09
303,304,bait,baits,behavior,11,-1.26,0.91,-0.43,0.21,0.08,0.12
304,305,baker,baker,identity,13,1.94,0.63,0.04,0.12,0.12,0.1
305,306,baldy,baldy,identity,5,-1.03,-1.18,-0.51,0.2,0.21,0.15
306,307,ballet_dancer,ballet dancer,identity,1,1.39,-0.1,1.18,0.13,0.13,0.11
307,308,balloon_seller,balloon seller,identity,2,0.27,-0.65,-0.21,0.15,0.18,0.11
308,309,bamboozle,bamboozles,behavior,4,-1.01,0.26,0.09,0.17,0.08,0.12
309,310,ban,bans,behavior,9,-1.18,2.11,0.73,0.21,0.09,0.09
310,311,bandit,bandit,identity,13,-1.99,0.56,1.21,0.25,0.15,0.12
311,312,banish,banishs,behavior,8,-1.78,1.58,0.4,0.22,0.09,0.09
312,313,bank_customer,bank customer,identity,1,1.18,0.99,0.18,0.13,0.16,0.1
313,314,bank_employee,bank employee,identity,1,0.94,0.2,-0.03,0.14,0.13,0.08
314,315,bank_manager,bank manager,identity,7,1.16,1.79,0.25,0.12,0.12,0.11
315,316,bank_teller,bank teller,identity,11,1.3,0.49,-0.48,0.11,0.12,0.1
316,317,banker,banker,identity,13,1.31,1.78,0.29,0.13,0.13,0.1
317,318,bankrupt,bankrupts,behavior,8,-2.8,1.17,-0.01,0.24,0.09,0.1
